Investing Report Created: 2023-09-23 08:16:00 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"7/3/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"7/18/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"8/1/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"8/15/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"8/29/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"9/12/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"9/19/2019","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"143.31","HD ESPP"
﻿,,"9/20/2019","Reinvest Dividend","Home Depot","HD","Home Depot","0.280605 shares @ 237.27303505","0.280605","66.58","0.00","HD ESPP"
﻿,,"9/26/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"10/10/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"10/24/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"11/7/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"11/20/2019","Sell","Home Depot","HD","Home Depot","50.144033 shares @ 219.565307","-50.144033","-11,009.89","11,009.89","HD ESPP"
﻿,,"11/21/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"11/21/2019","Payment/Deposit","",,"Home Depot Sl","Transfer:[USAA CLASSIC CHECKING]",,,"-11,009.89","HD ESPP"
﻿,,"12/5/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"12/19/2019","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","ESPP",,,"405.19","HD ESPP"
﻿,,"12/31/2019","Buy","Home Depot","HD","Home Depot","29.175156 shares @ 185.62300061","29.175156","5,415.58","-5,415.58","HD ESPP"
﻿,,"1/2/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"1/16/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"1/30/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"2/13/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"2/27/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"3/12/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"3/12/2020","Dividend Income","Home Depot","HD","Home Depot","Investments:Dividend Income",,,"43.76","HD ESPP"
﻿,,"3/23/2020","Add Shares","Home Depot","HD","Home Depot","37 shares @ 147.727273","37","5,465.91","0.00","HD ML Individual Account"
﻿,,"3/23/2020","Add Shares","Home Depot","HD","Home Depot","44 shares @ 147.727273","44","6,500.00","0.00","HD ML Individual Account"
﻿,,"3/26/2020","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"162.68","HD ESPP"
﻿,,"3/26/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"3/27/2020","Reinvest Dividend","Home Depot","HD","Home Depot","0.219727 shares @ 199.11071466","0.219727","43.75","0.00","HD ESPP"
﻿,,"4/9/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"4/23/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"455.85","HD ESPP"
﻿,,"4/29/2020","Sell","Home Depot","HD","Home Depot","37 shares @ 222.22594595","-37","-8,222.36","8,222.36","HD ML Individual Account"
﻿,,"5/5/2020","Payment/Deposit","",,"Transfer","Transfer:[USAA CLASSIC CHECKING]",,,"-8,222.36","HD ML Individual Account"
﻿,,"5/7/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"461.55","HD ESPP"
﻿,,"5/21/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"467.24","HD ESPP"
﻿,,"6/1/2020","Sell","Home Depot","HD","Home Depot","44 shares @ 248.59886364","-44","-10,938.35","10,938.35","HD ML Individual Account"
﻿,,"6/3/2020","Payment/Deposit","",,"Merrill Lynch Funds Trfr ****","Transfer:[USAA CLASSIC CHECKING]",,,"-10,938.35","HD ML Individual Account"
